,osid_scrambled,site,tid_scrambled,neighbor1_scrambled,shelf,path,lim,crsin,crsout,member_list,neighbor1_final,neighbor1_lim,neighbor2_final,pathindex,date
1171,b2d-d43fe-41,386,2fe-e1ab1-fe,f3d-d885d-62,2,72,LIM-2-2,ADJ-2-2-8,ADJ-2-2-5,CMD44-2-83;LIM-2-2-8;DSCM-2-91-1;LIM-2-2;OSC-2-1-1;WSSOPM-2-3;DSCM-2-91,379-f3d-d885d-62-1-69,LIM-1-2,-,2.0,2020/03/10
1172,b2d-d43fe-41,386,2fe-e1ab1-fe,2fe-e1ab1-fe,2,72,LIM-2-2,ADJ-2-2-8,ADJ-2-2-5,CMD44-2-83;LIM-2-2-8;DSCM-2-91-1;LIM-2-2;OSC-2-1-1;WSSOPM-2-3;DSCM-2-91,386-2fe-e1ab1-fe-5-76,LIM-5-2,-,2.0,2020/03/10
1173,99b-81734-ab,386,2fe-e1ab1-fe,50d-895d1-ab,5,76,LIM-5-2,ADJ-5-2-8,ADJ-5-2-5,CMD44-5-83;LIM-5-2-8;LIM-5-2-5;LIM-5-2;OSC-5-1-1;WSSOPM-5-3;CMD44-5-84,482-50d-895d1-ab-3-73,LIM-3-2,-,2.0,2020/03/10
1174,99b-81734-ab,386,2fe-e1ab1-fe,2fe-e1ab1-fe,5,76,LIM-5-2,ADJ-5-2-8,ADJ-5-2-5,CMD44-5-83;LIM-5-2-8;LIM-5-2-5;LIM-5-2;OSC-5-1-1;WSSOPM-5-3;CMD44-5-84,386-2fe-e1ab1-fe-2-72,LIM-2-2,-,2.0,2020/03/10
1175,f95-cbd33-1b,386,2fe-e1ab1-fe,245-b413e-e8,4,37,LIM-4-2,ADJ-4-2-8,ADJ-4-2-5,CMD44-4-83;LIM-4-2-8;DSCM-4-91-1;LIM-4-2;OSC-4-1-1;WSSOPM-4-3;DSCM-4-91;CMD44-4-84,307-245-b413e-e8-6-40,LIM-6-2,-,1.0,2020/03/10
1176,f95-cbd33-1b,386,2fe-e1ab1-fe,2fe-e1ab1-fe,4,37,LIM-4-2,ADJ-4-2-8,ADJ-4-2-5,CMD44-4-83;LIM-4-2-8;DSCM-4-91-1;LIM-4-2;OSC-4-1-1;WSSOPM-4-3;DSCM-4-91;CMD44-4-84,386-2fe-e1ab1-fe-2-72,LIM-2-2,-,1.0,2020/03/10
1177,7fc-d7322-37,386,2fe-e1ab1-fe,7f5-8ae37-d4,3,180,LIM-3-2,ADJ-3-2-8,ADJ-3-2-5,CMD44-3-83;LIM-3-2-8;DSCM-3-91-1;LIM-3-2;OSC-3-1-1;WSSOPM-3-3;DSCM-3-91;CMD44-3-84,475-7f5-8ae37-d4-2-177,LIM-2-2,-,2.0,2020/03/10
1178,7fc-d7322-37,386,2fe-e1ab1-fe,2fe-e1ab1-fe,3,180,LIM-3-2,ADJ-3-2-8,ADJ-3-2-5,CMD44-3-83;LIM-3-2-8;DSCM-3-91-1;LIM-3-2;OSC-3-1-1;WSSOPM-3-3;DSCM-3-91;CMD44-3-84,386-2fe-e1ab1-fe-2-72,LIM-2-2,-,2.0,2020/03/10
1179,c0e-7c52c-eb,386,2fe-e1ab1-fe,542-fb2a0-39,1,221,LIM-1-2,ADJ-1-2-8,ADJ-1-2-5,CMD44-1-83;LIM-1-2-8;DSCM-1-91-1;LIM-1-2;OSC-1-1-1;WSSOPM-1-3;DSCM-1-91,396-542-fb2a0-39-1-224,LIM-1-2,-,1.0,2020/03/10
1180,c0e-7c52c-eb,386,2fe-e1ab1-fe,2fe-e1ab1-fe,1,221,LIM-1-2,ADJ-1-2-8,ADJ-1-2-5,CMD44-1-83;LIM-1-2-8;DSCM-1-91-1;LIM-1-2;OSC-1-1-1;WSSOPM-1-3;DSCM-1-91,386-2fe-e1ab1-fe-2-72,LIM-2-2,-,1.0,2020/03/10
