,0,1
123,245-b413e-e8_5_2_6,86f-2b977-1b_1_2_8
124,306-288da-d1_2_2_6,47f-8d5a5-cc_1_1_8
125,3b5-53a75-01_1_1_8,3b5-53a75-01_1_2_6
126,3b5-53a75-01_1_2_6,80b-307d3-7f_2_2_8
127,511-8712a-48_1_1_8,eae-f4996-b2_1_2_8
128,5dc-2c2d6-6f_2_2_8,f00-ad908-fb_1_2_8
129,67f-50db3-75_1_2_6,67f-50db3-75_2_2_8
130,67f-50db3-75_2_2_8,67f-50db3-75_2_5_5
131,789-bb1be-81_2_2_8,a47-7aeea-bd_3_2_6
132,80b-307d3-7f_1_2_6,fc5-45a44-5e_2_2_8
133,80b-307d3-7f_2_2_8,80b-307d3-7f_2_5_5
134,3b5-53a75-01_1_2_6,80b-307d3-7f_2_5_5
135,fc5-45a44-5e_1_2_6,fc5-45a44-5e_2_5_5
136,fc5-45a44-5e_2_2_8,fc5-45a44-5e_2_5_5
137,25b-09573-de_1_2_8,774-fdc06-4f_3_2_6
138,4de-d5576-20_4_2_8,5dc-2c2d6-6f_1_2_6
139,912-f5cac-6b_1_2_8,e99-36395-44_2_2_6
140,12f-29a81-53_2_2_6,b69-4cb4f-f0_2_2_8
141,277-45405-4c_3_2_6,f31-0c101-f7_5_2_8
142,277-45405-4c_3_2_6,5b1-43254-d7_1_2_8
143,5b1-43254-d7_1_2_8,f31-0c101-f7_5_2_8
144,b00-62bc0-59_2_2_8,fe0-9215d-26_2_2_6
145,e46-30657-f9_4_2_8,fe0-9215d-26_1_2_6
146,024-55d61-21_3_2_8,570-58dd2-15_3_2_6
147,12f-29a81-53_4_2_8,f00-ad908-fb_2_2_6
148,1fd-f9075-51_4_14_8,3d3-39ed6-b5_1_2_6
149,208-24781-95_1_2_8,3d3-39ed6-b5_1_2_6
150,3b5-53a75-01_1_1_8,67f-50db3-75_1_2_6
151,3d3-39ed6-b5_1_2_6,fd3-85d1a-e4_1_2_8
152,723-92c7a-da_3_2_6,c59-37d46-60_2_2_8
153,b07-24b05-fb_3_2_8,c59-37d46-60_1_2_6
154,b43-84800-63_4_2_6,c18-3757b-57_2_2_8
155,b43-84800-63_4_2_8,c18-3757b-57_2_2_6
156,f88-259e5-7e_2_4_8,fd3-85d1a-e4_1_2_8
157,375-d9a88-08_1_2_8,593-f48b8-d8_3_2_6
158,000-5acae-94_1_2_8,9c3-bf9d8-4b_1_2_6
159,12f-0ee73-9d_2_2_8,12f-0ee73-9d_2_4_8
160,2fe-e1ab1-fe_6_2_6,9e9-70b86-4a_1_2_8
161,375-d9a88-08_1_2_6,593-f48b8-d8_3_2_8
162,375-d9a88-08_2_2_8,deb-90231-cb_3_2_6
163,570-58dd2-15_3_2_8,573-21794-b6_2_4_8
164,12f-0ee73-9d_2_2_8,573-21794-b6_2_4_8
165,576-dc97c-6a_2_2_6,9c3-bf9d8-4b_2_2_8
166,593-f48b8-d8_1_2_6,796-7c246-6f_3_2_8
167,593-f48b8-d8_6_2_6,f31-0c101-f7_1_2_8
168,5f2-0a2bc-d2_2_2_8,9e9-70b86-4a_1_2_8
169,774-fdc06-4f_1_2_8,da8-be0b5-14_1_2_6
170,796-7c246-6f_1_2_8,b72-8ca11-ed_1_2_6
171,b02-26db1-19_1_2_8,da8-be0b5-14_4_2_6
172,9c3-bf9d8-4b_2_2_8,f31-0c101-f7_2_2_6
173,305-fcde2-a8_1_2_6,49c-0265d-8f_3_2_8
174,305-fcde2-a8_2_2_8,4de-d5576-20_1_2_6
175,49c-0265d-8f_3_2_8,49c-0265d-8f_3_6_8
176,c97-57723-4e_1_2_8,cca-70247-1e_1_2_6
177,15b-4d7ae-15_1_2_6,afe-b9f62-22_4_2_8
178,15b-4d7ae-15_2_2_6,833-f03ed-b4_1_2_8
179,245-ed55e-95_1_2_6,73d-85589-c1_1_2_8
180,245-ed55e-95_2_2_6,afe-b9f62-22_4_2_8
